file_name,cases.0.samples.0.submitter_id,cases.0.case_id,id
48a95042-0ff3-41a6-a447-dc3a64d087fc.htseq.counts.gz,TCGA-C8-A135-01A,33cea538-4c3f-470a-972d-257c43241ab4,15604270-aebe-4113-966b-02c22adda279
883728dd-ee8e-41ff-9507-1893977ad754.htseq.counts.gz,TCGA-E9-A1NA-01A,af577366-0258-49e7-b6af-e70056c081a4,2f1f5190-ad8c-4639-841f-2e01f699961d
96b44e28-67a2-4781-a85b-c82fe528157d.htseq.counts.gz,TCGA-A2-A0EV-01A,7032ec9c-e96b-4642-a7b6-d0aee7a3add2,729e38ec-17d8-437c-bb01-34d0c428c6f6
ca5d0721-99cf-4b7c-b708-6acea2ae86bd.htseq.counts.gz,TCGA-A8-A06N-01A,3a711140-1b89-4611-9992-3861e3d0e01a,0cbfcb99-93ca-46bb-ab4d-3dcccee62cd0
b06fbfec-fe8f-400a-b5be-664ac3958de4.htseq.counts.gz,TCGA-AO-A0J5-01A,c1442467-d618-435f-8792-b1a18f696f1a,bcb5d2ec-9674-44ed-bc09-991fc749b270
58d232f8-75a8-4981-9ccd-0530a31b4610.htseq.counts.gz,TCGA-B6-A0RU-01A,6956473b-92e5-4069-a26b-b48e280e76f2,4744bd33-92dc-4966-898e-c65800a14eaa
2d721010-840f-4ca7-b41c-6792385b410d.htseq.counts.gz,TCGA-BH-A18P-01A,557cb0a3-6f1b-4faf-8296-0a15c24158f9,e5118d98-9861-4f7a-a2ab-367ba052920b
ee2002e1-39a4-4d50-9d37-1beea973830e.htseq.counts.gz,TCGA-A2-A04T-01A,b58ad350-5140-4fa8-bc2c-24bca8395f3a,322ff50a-fb6a-417c-a9ac-012b7bc924df
be8c6402-fb97-4c31-8a18-a5b4783a1726.htseq.counts.gz,TCGA-BH-A0AZ-01A,518f231c-f5f9-4a39-a97b-7fd5666d3e50,28d20cb9-7ff1-4653-917f-5dfabf7b1940
ca75ae4d-3d90-46d7-9544-fd71dd6c87b2.htseq.counts.gz,TCGA-AR-A0TW-01A,8da3d6cf-381b-4d1b-93fa-41fd9d2b2e66,25e71ef2-e0bb-4d98-aefd-90960f95336c
ccd1ad3e-4220-41ff-b3a8-bead01b1eaf8.htseq.counts.gz,TCGA-D8-A1XO-01A,6a186809-3422-41d0-83d2-867145830936,02bede57-6d7d-441f-9fb9-b4bb1c8d5f4d
ca45d175-81b4-430e-bf28-e51c591b3683.htseq.counts.gz,TCGA-D8-A1Y2-01A,c7d7a770-23c0-4310-ab48-1f6152dc2849,7654c387-58c1-476a-8dff-2dc6940d9750
2cf65487-9fb6-4e58-92b8-378c61d14c97.htseq.counts.gz,TCGA-AR-A0TX-01A,c364e81c-eb1e-4870-ab37-9c661f5f2e3d,a1b70c4a-8039-4853-9717-b13771de2b76
db106f15-9af2-4808-ab7b-d1ebb66a2954.htseq.counts.gz,TCGA-A8-A0AB-01A,22eaba28-be67-4730-9846-860bc1fca29a,dbb5323c-de77-4792-ac3e-7af8628deafc
488f53a2-92f8-4164-adc8-28b738a312fb.htseq.counts.gz,TCGA-EW-A1IY-01A,5ff12cbe-a3e0-4ce6-8452-12b984a1baaf,628a42db-4c6c-44a6-a2f8-1144150b1e66
7af2075c-0386-4971-ae25-375330ef6cec.htseq.counts.gz,TCGA-A7-A0DB-01A,f130f376-5801-40f9-975d-a7e2f7b5670d,c66bfdc3-873c-413b-b6d6-495f3b43c0e9
ec631f8b-d227-47f6-988a-c24b0e8e33c2.htseq.counts.gz,TCGA-A8-A07E-01A,853456d8-2367-404e-abc9-020fe8bbd209,ada09cd0-8e65-4f04-a190-aa5391336ab6
c14ae3ed-5d43-452c-8955-631a8c62660d.htseq.counts.gz,TCGA-D8-A1JD-01A,530ad151-703d-4638-851f-0b5111ff318b,92a30a9e-ce5f-4a64-8d23-a1e9ed9030a1
daee50d2-e281-4cbc-ae7b-c52460f4920a.htseq.counts.gz,TCGA-BH-A0GZ-01A,27dfb9d4-3a2c-44bc-9acf-8f638d3f3004,70fa91a5-a459-4483-a204-2d997863a0fd
786873b7-1515-4aaf-872a-ee2e0ee05bf2.htseq.counts.gz,TCGA-AR-A2LK-01A,1b703058-e596-45bc-80fe-8b98d545c2e2,9e8a9007-7a7c-4767-9c77-c91291dc79ff
69878c97-02ab-4504-9506-aea3adbee455.htseq.counts.gz,TCGA-A8-A07R-01A,72e486b8-a866-4916-b2e4-8b4bb5dcd92d,cefaebf8-5419-4ddd-8dc1-e2867d584ce0
d806b4fb-807b-4d66-b17f-c2e381675e4f.htseq.counts.gz,TCGA-AO-A1KR-01A,b7f74ae1-6f58-447c-be50-a7666eb19d9a,47eb73fc-3811-44d2-a6bc-f8492344fd77
4ffc163b-f5af-407d-aae6-769e4ab354d0.htseq.counts.gz,TCGA-E9-A244-01A,a4c59287-1ad5-46a5-8040-e591e6ce064f,cf30e346-e776-4e2d-bb12-09eeea464960
